branch_id,branch_name,product_name,category,batch_id,qty_on_hand,expiry_date,days_left,avg_daily_units,projected_unsold,value_at_risk
B02,Riverside,Bakery Item 01,Bakery,BT000133,118,2026-07-01,1,35.7,82,215.68
B01,Northgate,Bakery Item 01,Bakery,BT000019,108,2026-07-02,2,26.6,54,143.35
B02,Riverside,Dairy Item 03,Dairy,BT000125,61,2026-07-01,1,30.4,30,140.32
B05,Old Town,Dairy Item 03,Dairy,BT000468,68,2026-07-02,2,19.1,29,136.39
B07,Greenfield,Dairy Item 01,Dairy,BT000704,42,2026-07-01,1,10.4,31,122.77
B01,Northgate,Bakery Item 02,Bakery,BT000021,65,2026-07-01,1,25.5,39,117.32
B02,Riverside,Dairy Item 05,Dairy,BT000127,72,2026-07-01,1,25.5,46,114.94
B01,Northgate,Bakery Item 05,Bakery,BT000028,54,2026-07-01,1,14.8,39,101.47
B02,Riverside,Bakery Item 02,Bakery,BT000135,65,2026-07-01,1,30.9,34,101.4
B01,Northgate,Dairy Item 08,Dairy,BT000016,54,2026-07-01,1,29.9,24,98.26
B06,Sunset Park,Dairy Item 06,Dairy,BT000603,33,2026-07-01,1,9.1,23,97.0
B02,Riverside,Fruit & Veg Item 02,Fruit & Veg,BT000148,84,2026-07-01,1,25.0,59,90.92
B01,Northgate,Bakery Item 04,Bakery,BT000025,86,2026-07-01,1,18.1,67,71.25
B02,Riverside,Fruit & Veg Item 06,Fruit & Veg,BT000157,98,2026-07-01,1,27.8,70,70.88
B02,Riverside,Fruit & Veg Item 06,Fruit & Veg,BT000156,95,2026-07-01,1,27.8,67,67.85
B06,Sunset Park,Bakery Item 02,Bakery,BT000610,33,2026-07-01,1,11.4,21,64.17
B05,Old Town,Bakery Item 05,Bakery,BT000483,33,2026-07-01,1,10.1,22,59.39
B03,Hillview,Dairy Item 05,Dairy,BT000246,52,2026-07-02,2,14.1,23,58.93
B07,Greenfield,Bakery Item 01,Bakery,BT000719,47,2026-07-02,2,12.9,21,55.77
B03,Hillview,Fruit & Veg Item 07,Fruit & Veg,BT000277,56,2026-07-02,2,15.0,26,53.45
B08,Airport Road,Bakery Item 02,Bakery,BT000832,30,2026-07-01,1,14.5,15,46.04
B01,Northgate,Dairy Item 05,Dairy,BT000011,82,2026-07-04,4,16.3,16,41.64
B05,Old Town,Fruit & Veg Item 07,Fruit & Veg,BT000507,47,2026-07-02,2,13.5,20,41.0
B03,Hillview,Bakery Item 02,Bakery,BT000252,37,2026-07-01,1,24.3,12,37.66
B03,Hillview,Fruit & Veg Item 05,Fruit & Veg,BT000275,23,2026-07-01,1,5.2,17,37.25
B05,Old Town,Bakery Item 02,Bakery,BT000479,34,2026-07-01,1,21.6,12,36.91
B06,Sunset Park,Fruit & Veg Item 10,Fruit & Veg,BT000641,33,2026-07-02,2,7.9,17,35.61
B08,Airport Road,Bakery Item 06,Bakery,BT000839,28,2026-07-01,1,6.0,21,35.36
B08,Airport Road,Fruit & Veg Item 02,Fruit & Veg,BT000843,30,2026-07-01,1,7.3,22,35.04
B03,Hillview,Dairy Item 05,Dairy,BT000244,56,2026-07-03,3,14.1,13,34.05
B05,Old Town,Fruit & Veg Item 01,Fruit & Veg,BT000491,62,2026-07-02,2,15.5,31,33.17
B06,Sunset Park,Bakery Item 04,Bakery,BT000615,42,2026-07-01,1,11.5,30,32.06
B01,Northgate,Bakery Item 05,Bakery,BT000029,27,2026-07-01,1,14.8,12,31.54
B04,Lakeside,Bakery Item 01,Bakery,BT000367,68,2026-07-02,2,28.1,11,31.07
B06,Sunset Park,Bakery Item 04,Bakery,BT000614,41,2026-07-01,1,11.5,29,31.01
B06,Sunset Park,Bakery Item 05,Bakery,BT000616,20,2026-07-01,1,8.5,11,29.88
B03,Hillview,Bakery Item 05,Bakery,BT000256,24,2026-07-01,1,13.2,10,27.93
B01,Northgate,Dairy Item 02,Dairy,BT000005,17,2026-07-01,1,9.3,7,27.8
B05,Old Town,Fruit & Veg Item 08,Fruit & Veg,BT000510,36,2026-07-02,2,12.0,11,27.55
B07,Greenfield,Bakery Item 02,Bakery,BT000720,30,2026-07-02,2,10.6,8,26.09
B05,Old Town,Fruit & Veg Item 07,Fruit & Veg,BT000505,26,2026-07-01,1,13.5,12,25.62
B01,Northgate,Dairy Item 07,Dairy,BT000015,19,2026-07-01,1,6.8,12,23.99
B08,Airport Road,Bakery Item 04,Bakery,BT000834,34,2026-07-01,1,11.2,22,23.93
B04,Lakeside,Fruit & Veg Item 08,Fruit & Veg,BT000394,23,2026-07-01,1,12.8,10,23.59
B08,Airport Road,Bakery Item 04,Bakery,BT000835,33,2026-07-01,1,11.2,21,22.88
B03,Hillview,Dairy Item 06,Dairy,BT000247,33,2026-07-02,2,13.8,5,22.33
B02,Riverside,Bakery Item 05,Bakery,BT000141,19,2026-07-01,1,10.6,8,21.74
B03,Hillview,Fruit & Veg Item 04,Fruit & Veg,BT000272,32,2026-07-02,2,11.4,9,21.67
B05,Old Town,Fruit & Veg Item 02,Fruit & Veg,BT000493,59,2026-07-03,3,15.4,12,19.74
B01,Northgate,Bakery Item 04,Bakery,BT000026,54,2026-07-02,2,18.1,17,18.6
B05,Old Town,Bakery Item 07,Bakery,BT000490,45,2026-07-03,3,9.6,16,18.57
B05,Old Town,Dairy Item 02,Dairy,BT000467,16,2026-07-03,3,3.6,5,18.36
B04,Lakeside,Fruit & Veg Item 01,Fruit & Veg,BT000381,44,2026-07-02,2,14.4,15,16.28
B08,Airport Road,Bakery Item 06,Bakery,BT000837,22,2026-07-02,2,6.0,9,15.99
B02,Riverside,Fruit & Veg Item 07,Fruit & Veg,BT000158,62,2026-07-02,2,27.3,7,15.23
B03,Hillview,Fruit & Veg Item 01,Fruit & Veg,BT000265,66,2026-07-03,3,17.4,13,14.67
B07,Greenfield,Fruit & Veg Item 05,Fruit & Veg,BT000742,10,2026-07-01,1,3.0,6,14.56
B05,Old Town,Fruit & Veg Item 07,Fruit & Veg,BT000506,20,2026-07-01,1,13.5,6,13.32
B06,Sunset Park,Bakery Item 04,Bakery,BT000613,35,2026-07-02,2,11.5,12,12.68
B03,Hillview,Bakery Item 05,Bakery,BT000258,31,2026-07-02,2,13.2,4,11.84
B05,Old Town,Fruit & Veg Item 04,Fruit & Veg,BT000498,21,2026-07-02,2,8.0,4,11.68
B08,Airport Road,Fruit & Veg Item 07,Fruit & Veg,BT000853,15,2026-07-01,1,9.5,5,11.35
B06,Sunset Park,Bakery Item 07,Bakery,BT000619,30,2026-07-02,2,10.1,9,11.16
B03,Hillview,Dairy Item 03,Dairy,BT000240,50,2026-07-02,2,23.8,2,11.15
B03,Hillview,Fruit & Veg Item 08,Fruit & Veg,BT000280,23,2026-07-01,1,18.4,4,10.72
B02,Riverside,Bakery Item 06,Bakery,BT000143,21,2026-07-01,1,14.7,6,10.18
B03,Hillview,Bakery Item 06,Bakery,BT000259,39,2026-07-02,2,16.6,5,9.2
B05,Old Town,Bakery Item 03,Bakery,BT000481,13,2026-07-02,2,2.5,7,9.2
B03,Hillview,Fruit & Veg Item 02,Fruit & Veg,BT000266,68,2026-07-04,4,15.5,5,9.02
B01,Northgate,Fruit & Veg Item 02,Fruit & Veg,BT000036,36,2026-07-01,1,30.5,5,8.42
B06,Sunset Park,Fruit & Veg Item 08,Fruit & Veg,BT000637,13,2026-07-01,1,9.4,3,8.25
B07,Greenfield,Bakery Item 04,Bakery,BT000726,19,2026-07-01,1,11.3,7,8.14
B05,Old Town,Bakery Item 03,Bakery,BT000480,12,2026-07-02,2,2.5,6,8.04
B04,Lakeside,Bakery Item 07,Bakery,BT000379,22,2026-07-01,1,15.0,6,7.94
B03,Hillview,Bakery Item 07,Bakery,BT000261,29,2026-07-02,2,11.0,6,7.9
B01,Northgate,Fruit & Veg Item 05,Fruit & Veg,BT000040,11,2026-07-01,1,7.4,3,7.54
B05,Old Town,Bakery Item 07,Bakery,BT000488,34,2026-07-03,3,9.6,5,6.03
B07,Greenfield,Bakery Item 05,Bakery,BT000728,19,2026-07-03,3,5.6,2,5.92
B03,Hillview,Bakery Item 03,Bakery,BT000254,9,2026-07-01,1,4.1,4,5.68
B08,Airport Road,Bakery Item 03,Bakery,BT000833,8,2026-07-02,2,1.7,4,5.39
B06,Sunset Park,Bakery Item 06,Bakery,BT000617,33,2026-07-03,3,9.9,3,5.35
B06,Sunset Park,Fruit & Veg Item 09,Fruit & Veg,BT000639,9,2026-07-01,1,3.2,5,5.09
B06,Sunset Park,Fruit & Veg Item 02,Fruit & Veg,BT000623,44,2026-07-03,3,13.7,2,4.57
B04,Lakeside,Bakery Item 03,Bakery,BT000371,10,2026-07-02,2,3.1,3,4.39
B07,Greenfield,Fruit & Veg Item 07,Fruit & Veg,BT000745,30,2026-07-02,2,13.9,2,4.39
B03,Hillview,Fruit & Veg Item 07,Fruit & Veg,BT000278,32,2026-07-02,2,15.0,2,4.25
B06,Sunset Park,Bakery Item 03,Bakery,BT000612,6,2026-07-01,1,2.6,3,3.89
B02,Riverside,Bakery Item 06,Bakery,BT000142,17,2026-07-01,1,14.7,2,3.74
B04,Lakeside,Bakery Item 03,Bakery,BT000372,6,2026-07-01,1,3.1,2,3.36
B05,Old Town,Bakery Item 04,Bakery,BT000482,53,2026-07-03,3,16.6,3,3.34
B03,Hillview,Bakery Item 04,Bakery,BT000255,16,2026-07-01,1,13.3,2,2.85
