week,visitors,transactions
2026-W00,49259,30193
2026-W01,95448,58648
2026-W02,93213,57324
2026-W03,95510,60488
2026-W04,105902,65955
2026-W05,94898,58235
2026-W06,91631,56563
2026-W07,91997,56300
2026-W08,103981,64596
2026-W09,95385,59043
2026-W10,93966,57548
2026-W11,91495,55779
2026-W12,106752,66569
2026-W13,99648,62908
2026-W14,92986,58693
2026-W15,91089,56375
2026-W16,99850,62552
2026-W17,104503,64808
2026-W18,94783,58441
2026-W19,92574,57644
2026-W20,93473,57948
2026-W21,105966,65086
2026-W22,95799,59122
2026-W23,92941,56728
2026-W24,94321,58987
2026-W25,99153,60515
2026-W26,24141,14637
